customer_pk,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
1,0005aefbb696d34b3424dccd0a0e9fd0,616309b2eeb7bd9c05b0fdfbab28e6c6,3052,sao paulo,SP
2,0018c09f333634ca9c80d9ff46e43e9c,688bb6776d5f885e4b46d4c4bac240c2,9190,santo andre,SP
3,0030aded3a67b29946a128ee8468388e,a961e198a1d400e99c02e8f4520f763c,8450,sao paulo,SP
4,0061937e85c708a41f5d5b24405d0f50,449cc26294cc2d6e2e88a82cea3e42c0,2315,sao paulo,SP
5,006fffc5b0accd275de3e3a4b6d0832d,19cb50ca8ff9afe19ce39c5d9562f3bd,68371,altamira,PA
6,007b18ac9b8a627f259ea78aed981315,a06d94b5d758fbc36c8f679d98ae1fc5,3951,sao paulo,SP
7,007b7f04a35e02745c23ea706492ca20,46dd28b3f7e33b789acf42d3093b7773,35950,alvinopolis,MG
8,0080e98d82eceee143dc006defe00687,38a8b05798967480ac1ca6ce6c5cbd6a,17511,marilia,SP
9,0088393a302a84e57cc69c9d365f5efa,e8085241eb1297eaa9bfa9453ea0b1ca,25880,sapucaia,RJ
10,0097c5abeb126a90646370f4a1cf3d93,4c1cacfc081ddc8593a27c9d3c88be49,97700,santiago,RS
11,0098400373e087d3c231fb5d37834fde,b66ebea9fad19535d1134154668d4129,73900,posse,GO
12,00a6e2753fc2652cb87386ffbf5792b2,3abdf4f27efce96f8573a88343a4084e,4944,sao paulo,SP
13,00b2b9682f5c2a1f7cf1312ce6a0ea9d,949b75abf6fdda78201547bf5f4c07f5,12236,sao jose dos campos,SP
14,00b96a156e6827442e5ec7c620a39d24,41b75ed52acfa208903915c459a5e3fd,31010,belo horizonte,MG
15,00ba72dac5dae2776b5bfcf799a956b2,40b5e9eed4db7f956359145971056f5d,4835,sao paulo,SP
16,00eb2bf26ade27447b6532561c6a402d,cc320e08bc9bc1b0a30e551d1de1e26d,5037,sao paulo,SP
17,00ee08bd4046a080a8ec38c5e0937372,5efe3bb2ff056a6a0f2370818502daed,25935,mage,RJ
18,00f73459a4d3be97ff307dc869da0aa9,f0e721656838e4d20a956242308007c7,4571,sao paulo,SP
19,010099752e4ca60e61c8a4a669ea9fe5,032cfb33364e07ebcafb4b8a92d7eec4,11702,praia grande,SP
20,0125fdf9e257f064725f85d1d63085b4,b8af560ea969399b77e9b0e6644558fe,86050,londrina,PR
21,0147fbc5c91112d914a4f4a480a0f09e,0c2018c190ac0a6c5a02c0bcbfaf2129,22060,rio de janeiro,RJ
22,0148f71e97a15ed3cf071ea28250eb87,7a58b4b37ece4d202545b0bf98a18efd,98960,santo cristo,RS
23,015bbed5b941c909ebf091ead5eb2a05,b854fe698a5384ebcadcdabe7ceebbb4,86300,cornelio procopio,PR
24,016c5c3fb572754f302fdac24aa9cfa4,c6bb2e116c8ccaf3738a685ba174b675,50721,recife,PE
25,01b2ab1c903b4ecd0442a3ce48d89caa,b20060de6cb6e49f4fbcf32a9effb25b,7272,guarulhos,SP
26,01cc68904d33964bd2e7bd52d10efe18,1d15c4b479b85b74daf5f6742dd3d05d,1405,sao paulo,SP
27,01d22419c452ad55702fa5a9a81a4423,1572056796a130cff3aac889df5e2939,18604,botucatu,SP
28,01d33ef4c346ccf41a296c1292922cb8,64e0a2c0c237ffa49416d01334384f7b,31710,belo horizonte,MG
29,01e0d4fb731e6ee47df3f3f179cc0a0b,9a47f3ac5c51599a24bb848c16ece5f4,5633,sao paulo,SP
30,01ec27f833d99e889b944c5112addff9,dc316d7b72678f31955bd54ee0b4f58b,11065,santos,SP
31,01f7155995c6d4cda4fab4d36293d80a,a74057eb042b356fed179ed2a6d2311d,83326,pinhais,PR
32,01f841d4c59e8b7634174ef72a75f81a,bdc98a892c4d5a526373afd38afa53ac,4138,sao paulo,SP
33,02036d14d9326c01a123bd83626d48c0,59d8d1ea35c02a6a070ee29944b0ea86,22773,rio de janeiro,RJ
34,02077904459251edd6b421b05fae711c,bf729deccdd7983078c35607bab21a40,22231,rio de janeiro,RJ
35,020edf80d85585b9ccf1c48396ec32aa,df27c250c1f69adb0cf75d0342814ca1,29306,cachoeiro de itapemirim,ES
36,021212b1c2f127ec287d99fa9f6346e6,1b86bd501d916b3c67a5dbfe7f49af47,5410,sao paulo,SP
37,021ccba47cb1118dfba3213180ffb44d,a8bdc0d9ea28636ee0ada5b9ccb430c9,5877,sao paulo,SP
38,021e84751ba0ead75b6d314a6ead88d9,9a58c55c10b4eb6c69fb0874d8beb466,23025,rio de janeiro,RJ
39,021ed85d23b734289c4dd0c827a3559e,2d6e75f5a4a33d3a936f1ea68ac9bf01,59090,natal,RN
40,022aad8457b9fe76c22eaa3cbaf5b6e5,7f27ed07f4f3806ca9ae65b97f1e9ef2,22250,rio de janeiro,RJ
41,022bdd440f8a37e8ba62d67287135a75,3411eba8bec9143a5c999f80226aaa5e,25214,duque de caxias,RJ
42,0238124998cd8eddd5b3ea04d4c1e658,4fefe0e53334d2252f3b920db8df4776,9416,ribeirao pires,SP
43,02502a29041f75b4982896ed8ca6e736,319df3f4e38c4bcf9e3bccd1bb504bdc,61760,eusebio,CE
44,0258af3a8301a7331edc8ba02da35b7c,38fb5f8b5cffb733ba60c32cbb6e80f3,60811,fortaleza,CE
45,025c2b263a9a9247f855c0c777aabe33,a59a677187d1abced1c2c926364c76c4,75834,mineiros,GO
46,025d5d5b392ca0924d3f47a286fe474f,1322f4f08ee126888c52044389540e3a,16900,andradina,SP
47,02731f7e9105dec7fc7fa715ccd821b3,6517822823bf509a5dd294d5cd69a829,29055,vitoria,ES
48,027ece8189c0d8b1d3b543676aa81a9c,82d328834d8318d50237978464defb0e,38407,uberlandia,MG
49,027efc2251512b9150aceb9a5e5b7f53,9e8876439507a7c603809927dd6ef09d,88303,itajai,SC
50,02860b05257510a255778043ce042794,da1e7179b9c5a1494d78528cbcf05aa0,89812,chapeco,SC
51,028d9c8cb891f2860106890cbc40834f,73cb5bd8850865a23fc9c1593c17ce6c,13845,mogi-guacu,SP
52,0299a3ec7aac3a18ea88cfa6cf8a74f5,abe351201e61437f658332cdce4c3c52,12260,paraibuna,SP
53,02a7a75320e787aa980907d0f647e508,7c020cb518b4fdcf5c50fa717d0fdca8,89260,jaragua do sul,SC
54,02cb822eec8b6309e7ce715ccea3390d,88e435343ab7c7ef2f1d4a751a6c8a2b,4421,sao paulo,SP
55,02d12adf94e256f7ff0056d447557027,2396ed0f849c195da124f55b4c17ee35,4551,sao paulo,SP
56,02d8426ded4654ed60b46ddd6d1a4f8c,c9d1abc0b230150138b5716c0f5720db,22021,rio de janeiro,RJ
57,02ed2cff54eb047cdbe79dd0535945d4,757921c3d0047781031e9bcbaf2c393c,5119,sao paulo,SP
58,02f0bc4b5ee293031637b7e8d75a5484,089967e5aa13d5ab166c175f555ab0d8,3543,sao paulo,SP
59,0306f447354ba6e1012ce4350cb1d8da,e52ae9727cc55d618b980d016a274cc7,35770,caetanopolis,MG
60,0308cb020fb67d56a42bf1296f77dfce,31f587e5afb9ca5efad537ab69de67d6,11350,sao vicente,SP
61,0310b25c98b10f9c6d22b9009455df37,52fc446155bc2a278dbaa6695e3c06c6,56317,petrolina,PE
62,0324667bb97f2048e83f77d282a75fb4,3e2157f91502458bc58455fd798ed58a,55602,vitoria de santo antao,PE
63,03261691b84979dde436e5752ebb28c7,19595c748b330b19286ae94092b6d900,35470,moeda,MG
64,0326dd6a607188065ee1d69c0390395d,9dc44558922ff57d14d99f20d37f440f,18075,sorocaba,SP
65,032f25110f17bb0d65268257b10738bc,b931fdce2c9ab0c8475ac1bc83af0f04,75800,jatai,GO
66,0338cedf9fd370fe655047aaa0725078,1f98d2384ff7a372e6a2d3bb75cbcd54,36680,sao joao nepomuceno,MG
67,033c0ab40161f39cabba89a415feffaa,367f810d77e192e1440edd2afa6b07cd,68371,altamira,PA
68,0361232bf2b929e19323dfc2843ee554,5f5c98eeb7493cc2ba1a27b73207ea6b,80250,curitiba,PR
69,036747722c993c40f22a72d23ebd5a45,9eeffd87f2e7056cd68c3896802919b5,13178,sumare,SP
70,0385c03f2b10a0a50ee72d8e3649a4b3,b8c64934a84e5ac575aaf1c5d50f340e,19800,assis,SP
71,039c5d6f330c73420f1658e63f67f0ff,5cac520e0d32fbde17b1eec2eed08f37,5398,sao paulo,SP
72,03a5dc88300acdc63c40c0fcb54799ec,899e389a3cbc0dce0d5df23b9b64679c,74911,aparecida de goiania,GO
73,03a6ba2837612c689cd65be392b84084,4ece0ab94505340f9f8c39f09d5c1280,30431,belo horizonte,MG
74,03b3813a78be4cf5205e70977ad78d29,8941047a0d54f59366a66ba79806ae9b,86600,rolandia,PR
75,03b59966dd366b58382e349fbaaa6231,89b18d4332a8a52b9ead9a7cb82d1f70,1244,sao paulo,SP
76,03c27921f605f0385f319ba1bbee389b,31a9f3ea5883e3fa0e6ec685504251e2,65047,sao luis,MA
77,03c55d79b75dda6cb2a2f1568708a446,6e890959de98f57e7db8fbf22d3f5697,91910,porto alegre,RS
78,03d88c22a063771d871d7ad4fc182cc8,b05a0be462115e2c6e1580b127161643,19803,assis,SP
79,03dcea146dfc2ccacbc079ee9a669db5,61bc6c4a059f69ea37ec1fc5abfca27f,7024,guarulhos,SP
80,03fc97548af8f58fefc768d12b546c9c,4b86049cb99e4aa774031daa9cd18f18,20551,rio de janeiro,RJ
81,0410837784e2dbaa9a557a94d9975b14,1581a918a58a11d99c69f86d9c0d2098,46100,brumado,BA
82,0421ca2c62e1e13536c13c8dea602d2f,a127d16055b7a1530476349068e3a64b,84174,castro,PR
83,0423a0c4b6eea9435c2f40758658a2d4,e51eaffb93507fb621df4131e0454edd,87013,maringa,PR
84,044e10a1e867fefd7f02a3da2ca475b4,e186ed0b619ff1dd7eef17b1ba5c4831,86610,jaguapita,PR
85,04509e3fc8b310f74b4ee514f0c1899d,66cb29267e1bdc78dd85b30452251579,3728,sao paulo,SP
86,045178794d4eb65a4b79f34dee26374a,baf8d1bc8b02f403f67012d3366984b6,4321,sao paulo,SP
87,046911a55a7bc12ca917758e9c4cb5ee,875a8799fbbac7a0f209714bebde4f1e,18202,itapetininga,SP
88,04719f10ea55e8d39bff210bea43c1a3,afa4fbe424bab6593e9a8395836966ef,8215,sao paulo,SP
89,0473034ec8cbbdc1db543b6c3615c625,65f72a9364d44ebbd405299568002138,28035,campos dos goytacazes,RJ
90,047c4f9e8ca120c41c8d4a61df722ea2,e2f8834d5843f8e622e4bff2a9498168,88495,garopaba,SC
91,047d2000bf864a26eb2559021ec958e2,c3d8a0b18ff1521752caf54292bdd5cf,75980,parauna,GO
92,0482519d5e3d179e7a3b00d6722bed50,21af73f960a77885e91a806c06b0c1e3,70330,brasilia,DF
93,0489975a325480c9e385e9f135bb13c3,b577af9a54b023b4bcc51f69bb937f1c,14406,franca,SP
94,0492fbcccc19cfdea66d667173ebce63,928c822f6eb7267fe1669503d1a24c89,8390,sao paulo,SP
95,04c6e463d6568c157c2b96e5a4e34a23,ad364a72320b9cc9fa436bce66ef8184,2366,sao paulo,SP
96,04c70b7e1a619d16dbd79757e543cc59,c0c0c50de0f9c7089f7de06b69577afc,12070,taubate,SP
97,04caa0484842fc3d966ebf185ba21242,7e30d2336a1f1182766cf6fb863d5554,4284,sao paulo,SP
98,04d7d73089b39d83f81b829cbd98e43d,86badf62319a7671b78a73b6b1e69fbf,35170,coronel fabriciano,MG
99,04e348e604e760a16a4d3160462c73f4,321aa4705a6597b7bb5a0c42ee121d3e,72210,brasilia,DF
100,04e6b770102df2c677ca4505f9c0c786,e573a0cfd274f1b93437e8aa24a45e8f,64760,sao joao do piaui,PI
101,05006a510ff7ae9e5b9901344cac5f24,88279a2e6481f3d4ebcc364aae7986fc,6404,barueri,SP
102,0509cd76cbe3a75f898826c212bb3b83,df92bfc8c606df2f1defedbd0b60a071,6310,carapicuiba,SP
103,052c644eb399b528aa0c6ff95a3ea856,3d5e14abd47ad7ae589af619b8d2489e,95600,taquara,RS
104,0541aa34358f8279116d1d183f1e4eec,66e1f83376794a26466b8aff77e4a5d0,65031,sao luis,MA
105,05428560b11124d146bc86a2c4d5bf35,8af7c3e9ec5825a574bf03b2813eea29,13184,hortolandia,SP
106,05535d34af5324aaf6988e1d890a0d6e,6927dac0fa9c5c972d388e6a77ce7d93,1316,sao paulo,SP
107,055e90449730145d8428d60bf4914154,77a4b149542d3a21a4a8c02b9441220b,9541,sao caetano do sul,SP
